4.158526, -0.139468, -0.009288
4.158943, -0.139471, -0.009283
4.160334, -0.139482, -0.009264
4.161863, -0.139494, -0.009244
4.162207, -0.139496, -0.009239
4.163747, -0.139508, -0.009216
4.164051, -0.139510, -0.009211
4.165445, -0.139521, -0.009190
4.166272, -0.139527, -0.009178
4.167224, -0.139534, -0.009164
4.168057, -0.139540, -0.009151
4.168944, -0.139547, -0.009138
4.169839, -0.139553, -0.009126
4.170754, -0.139560, -0.009114
4.172588, -0.139574, -0.009092
4.173505, -0.139581, -0.009083
4.174416, -0.139588, -0.009074
4.175253, -0.139595, -0.009066
4.176086, -0.139601, -0.009058
4.176879, -0.139607, -0.009050
4.177756, -0.139614, -0.009042
4.179677, -0.139629, -0.009024
4.180385, -0.139635, -0.009018
4.181036, -0.139640, -0.009013
4.181789, -0.139646, -0.009008
4.183543, -0.139660, -0.008997
4.184183, -0.139665, -0.008994
4.184763, -0.139670, -0.008990
4.186461, -0.139683, -0.008980
4.186990, -0.139687, -0.008976
4.188619, -0.139700, -0.008967
4.189142, -0.139705, -0.008965
4.190712, -0.139718, -0.008958
4.191216, -0.139722, -0.008957
4.192788, -0.139735, -0.008953
4.193242, -0.139739, -0.008953
4.193743, -0.139743, -0.008952
4.195307, -0.139756, -0.008949
4.196077, -0.139762, -0.008947
4.196924, -0.139770, -0.008946
4.197758, -0.139777, -0.008946
4.199643, -0.139793, -0.008944
4.200443, -0.139800, -0.008944
4.201190, -0.139806, -0.008944
4.201861, -0.139812, -0.008944
4.203587, -0.139826, -0.008943
4.204177, -0.139831, -0.008942
4.204757, -0.139836, -0.008941
4.206429, -0.139851, -0.008938
4.206996, -0.139855, -0.008937
4.208671, -0.139869, -0.008933
4.209190, -0.139874, -0.008932
4.209780, -0.139879, -0.008931
4.211313, -0.139892, -0.008927
4.211729, -0.139895, -0.008926
4.213232, -0.139908, -0.008922
4.214804, -0.139921, -0.008917
4.215233, -0.139925, -0.008914
4.216748, -0.139937, -0.008906
4.217197, -0.139941, -0.008903
4.218671, -0.139953, -0.008893
4.219287, -0.139958, -0.008889
4.219761, -0.139961, -0.008886
4.221296, -0.139974, -0.008875
4.221802, -0.139978, -0.008871
4.223285, -0.139989, -0.008859
4.223811, -0.139993, -0.008855
4.225369, -0.140006, -0.008842
4.225844, -0.140010, -0.008839
4.227365, -0.140022, -0.008827
4.227827, -0.140025, -0.008824
4.229339, -0.140037, -0.008812
4.229792, -0.140041, -0.008809
4.231312, -0.140053, -0.008798
4.231737, -0.140056, -0.008795
4.233203, -0.140067, -0.008783
4.234658, -0.140079, -0.008770
4.235132, -0.140082, -0.008766
4.236663, -0.140094, -0.008753
4.237147, -0.140098, -0.008749
4.238663, -0.140110, -0.008737
4.239116, -0.140113, -0.008733
4.240650, -0.140125, -0.008722
4.241133, -0.140129, -0.008718
4.242736, -0.140141, -0.008707
4.243259, -0.140145, -0.008703
4.243724, -0.140149, -0.008699
4.245283, -0.140161, -0.008685
4.245777, -0.140164, -0.008680
4.247287, -0.140176, -0.008665
4.247836, -0.140180, -0.008659
4.249467, -0.140192, -0.008643
4.249979, -0.140196, -0.008638
4.251474, -0.140207, -0.008623
4.251887, -0.140210, -0.008619
4.253377, -0.140221, -0.008603
4.253951, -0.140225, -0.008597
4.255504, -0.140236, -0.008579
4.255984, -0.140240, -0.008574
4.257476, -0.140251, -0.008557
4.257942, -0.140254, -0.008551
4.259441, -0.140265, -0.008533
4.259853, -0.140268, -0.008528
4.261427, -0.140279, -0.008511
4.261873, -0.140282, -0.008507
4.263340, -0.140293, -0.008493
4.263826, -0.140296, -0.008489
4.265308, -0.140307, -0.008474
4.265747, -0.140310, -0.008470
4.267299, -0.140321, -0.008453
4.267727, -0.140324, -0.008449
4.269187, -0.140335, -0.008435
4.270659, -0.140346, -0.008423
4.271096, -0.140349, -0.008419
4.272542, -0.140359, -0.008408
4.273037, -0.140363, -0.008403
4.274589, -0.140374, -0.008389
4.275058, -0.140377, -0.008384
4.276556, -0.140388, -0.008368
